id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
5	aarhus university	-0.1248	-0.3789	11	32	38	18	930	28.285	2015.8889	51.6667	1.5714
6	aarhus university hospital	0.0526	-0.394	11	13	18	10	827	15.8508	2015.2	82.7	1.5851
7	abertay university	-0.1172	-0.6381	5	3	3	6	322	4.8863	2007	53.6667	0.8144
12	academic medical center	-0.2112	-0.6022	13	31	53	11	927	21.7969	2015.1818	84.2727	1.9815
19	adelphi university	-0.1779	0.2892	9	22	28	15	603	10.1974	2013.7333	40.2	0.6798
20	adult anxiety clinic of temple	0.2562	0.5208	1	9	17	8	508	6.6865	2008.75	63.5	0.8358
30	aix-marseille university	-0.4746	-0.4851	11	6	8	5	123	2.0091	2014.2	24.6	0.4018
35	albany state university	-0.037	1.0547	1	12	30	18	1956	23.2212	1996.3889	108.6667	1.2901
36	albert einstein college of medicine	0.2086	-0.2381	13	25	27	6	137	7.0139	2006.1667	22.8333	1.169
50	allegheny general hospital	0.0851	0.5856	1	7	8	5	559	5.3832	2010.8	111.8	1.0766
53	alliant international university	0.1712	0.5122	2	9	9	10	253	4.9339	2008.4	25.3	0.4934
55	altrecht ggz	0.0074	-1.0164	13	15	35	10	159	7.0039	2019.6	15.9	0.7004
66	american university	0.044	0.3145	8	9	11	14	717	8.8316	1998.3571	51.2143	0.6308
72	amsterdam umc location vumc	0.5954	-0.9555	6	30	55	5	333	4.7789	2010.8	66.6	0.9558
73	amsterdam university medical centers	0.2534	-0.8297	13	15	28	7	58	8.9184	2021.7143	8.2857	1.2741
82	anna freud centre	-0.1846	-0.9333	5	20	33	16	982	21.5846	2015.6875	61.375	1.349
90	arizona state university	-0.0223	0.8647	2	18	19	12	537	9.4045	2006.5	44.75	0.7837
93	arq psychotrauma expert group	-0.3177	-0.6578	13	14	24	7	148	3.6381	2015.7143	21.1429	0.5197
112	auburn university	-0.0145	0.7988	1	14	15	14	609	8.5953	2012.0714	43.5	0.614
119	australian catholic university	0.6641	-0.0862	4	15	23	15	495	32.1268	2019.5333	33	2.1418
121	australian national university	0.5038	0.0642	4	7	9	6	180	3.882	2016.6667	30	0.647
122	australian psychological society	0.3582	-0.5184	4	29	44	8	266	12.2113	2018.25	33.25	1.5264
126	autonomous university of madrid	-0.0057	0.5185	1	6	7	6	262	5.6088	2017.1667	43.6667	0.9348
134	babeș-bolyai university	0.4089	-0.8135	6	44	75	15	1256	30.5168	2015.6667	83.7333	2.0345
143	bangor university	-0.1684	-0.893	10	16	17	10	2065	24.2097	2010.6	206.5	2.421
147	bar-ilan university	0.1331	0.0568	8	10	13	14	958	14.8724	2012.7857	68.4286	1.0623
161	baylor college of medicine	0.224	0.6346	12	56	97	29	662	24.912	2017.3103	22.8276	0.859
162	baylor university	-0.0129	0.9724	1	3	4	6	141	2.9977	2008.5	23.5	0.4996
164	beck institute for cognitive behavior therapy	0.1234	0.3028	8	8	10	7	3355	24.4948	2007.2857	479.2857	3.4993
165	behavior therapy associates	0.1542	0.7412	2	4	4	6	162	3.7967	1988.1667	27	0.6328
168	behavioral tech	-0.058	0.8179	1	7	7	5	139	4.9105	2015.4	27.8	0.9821
178	bellvitge university hospital	0.4121	-0.5131	6	31	55	7	323	12.9306	2019.5714	46.1429	1.8472
179	ben-gurion university of the negev	0.1263	0.0304	8	10	13	12	333	9.3308	2015.5	27.75	0.7776
192	binghamton university	0.2295	0.3245	1	25	30	15	820	14.0706	2006.3333	54.6667	0.938
196	"birkbeck, university of london"	0.0587	-0.4748	10	11	12	7	1051	16.5967	2014	150.1429	2.371
201	black dog institute	0.6723	-0.5614	4	5	12	6	414	9.5248	2017.3333	69	1.5875
217	boston university	0.1099	0.5455	2	123	350	148	17111	262.1023	2012.5676	115.6149	1.771
220	bowling green state university	0.3923	0.8855	12	2	2	5	21	0.5785	2014.8	4.2	0.1157
230	brigham young university	0.0121	0.7741	1	6	6	8	541	7.9697	2013.875	67.625	0.9962
239	brown university	0.1714	0.6587	7	74	155	49	2904	53.1909	2013.5102	59.2653	1.0855
244	butler hospital	0.2301	0.6701	7	17	28	10	648	9.8265	2005	64.8	0.9827
266	california university of pennsylvania	-0.1136	0.8634	1	13	16	13	594	9.6559	2002.6923	45.6923	0.7428
273	cambridgeshire and peterborough nhs foundation trust	0.2647	-0.71	13	44	61	9	753	18.8989	2017.6667	83.6667	2.0999
282	canterbury christ church university	0.2751	-0.7574	10	4	5	6	103	2.6462	2014.1667	17.1667	0.441
290	cardiff university	0.0258	-0.3001	5	20	26	8	713	24.6951	2015.75	89.125	3.0869
293	carl r. darnall army medical center	0.1319	1.2853	2	18	44	5	73	3.0213	2019	14.6	0.6043
296	carleton university	0.0466	0.1581	11	4	4	6	98	1.9958	2001.1667	16.3333	0.3326
300	carnegie mellon university	-0.0331	0.8918	1	5	11	6	966	30.887	2013.8333	161	5.1478
302	case western reserve university	-0.2897	0.708	9	23	40	21	1015	22.5836	2013.2381	48.3333	1.0754
305	catholic university of america	0.0111	0.3028	8	13	18	7	834	6.9315	2001.8571	119.1429	0.9902
