id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Norm. citations>	weight<Citations>	score<Pub. year>	score<Norm. citations>	score<Citations>
1	kerry j. ressler (2004)	"<table><tr><td>Authors:</td><td>kerry j. ressler; barbara o. rothbaum; libby tannenbaum; page l. anderson; ken graap; elana zimand; larry f. hodges; michael davis</td></tr><tr><td>Title:</td><td>cognitive enhancers as adjuncts to psychotherapy</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 61(11), 1136-1136</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.61.11.1136	1.0397	0.5383	3	581	1004	7.9771	1009	2004	7.9771	1009
2	w. stewart agras (2000)	"<table><tr><td>Authors:</td><td>w. stewart agras; b. timothy walsh; christopher g. fairburn; g. terence wilson; helena c. kraemer</td></tr><tr><td>Title:</td><td>a multicenter comparison of cognitive-behavioral therapy and interpersonal psychotherapy for bulimia nervosa</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 57(5), 459-459</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.57.5.459	-0.587	0.0354	1	160	209	4.3145	644	2000	4.3145	644
3	s. hofmann (2006a)	"<table><tr><td>Authors:</td><td>s. hofmann; alicia e. meuret; jasper a.j. smits; naomi m. simon; mark h. pollack; katherine eisenmenger; michael shiekh; michael w. otto</td></tr><tr><td>Title:</td><td>augmentation of exposure therapy with d-cycloserine for social anxiety disorder</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 63(3), 298-298</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.63.3.298	1.1735	0.1612	7	688	1544	3.1879	531	2006	3.1879	531
4	myrna m. weissman (1974)	"<table><tr><td>Authors:</td><td>myrna m. weissman</td></tr><tr><td>Title:</td><td>treatment effects on the social adjustment of depressed patients</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 30(6), 771-771</td></tr><tr><td>Year:</td><td>1974</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.1974.01760120033006	-0.7773	0.2362	1	36	42	7.1604	276	1974	7.1604	276
5	gavin andrews (1981)	"<table><tr><td>Authors:</td><td>gavin andrews</td></tr><tr><td>Title:</td><td>does psychotherapy benefit neurotic patients?</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 38(11), 1203-1203</td></tr><tr><td>Year:</td><td>1981</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.1981.01780360019001	-0.775	0.4499	1	120	157	3.8976	194	1981	3.8976	194
6	kathleen m. carroll (2001)	"<table><tr><td>Authors:</td><td>kathleen m. carroll; samuel a. ball; charla nich; patrick g. o’connor; dorothy a. eagan; tami l. frankforter; elisa triffleman; julia shi; bruce j. rounsaville</td></tr><tr><td>Title:</td><td>targeting behavioral therapies to enhance naltrexone treatment of opioid dependence</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 58(8), 755-755</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.58.8.755	-0.5874	0.2119	1	30	41	4.1753	190	2001	4.1753	190
7	ariel stravynski (1982)	"<table><tr><td>Authors:</td><td>ariel stravynski</td></tr><tr><td>Title:</td><td>social skills problems in neurotic outpatients</td></tr><tr><td>Source:</td><td>archives of general psychiatry, 39(12), 1378-1378</td></tr><tr><td>Year:</td><td>1982</td></tr></table>"	https://doi.org/https://doi.org/10.1001/archpsyc.1982.04290120014003	-0.6766	0.4758	1	361	478	1.8616	139	1982	1.8616	139
8	david a. ross (2017)	"<table><tr><td>Authors:</td><td>david a. ross; melissa r. arbuckle; michael j. travis; jennifer b. dwyer; gerrit i. van schalkwyk; kerry j. ressler</td></tr><tr><td>Title:</td><td>an integrated neuroscience perspective on formulation and treatment planning for posttraumatic stress disorder</td></tr><tr><td>Source:</td><td>jama psychiatry, 74(4), 407-407</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1001/jamapsychiatry.2016.3325	1.5734	0.1818	3	411	623	3.4592	126	2017	3.4592	126
9	tim hahn (2015)	"<table><tr><td>Authors:</td><td>tim hahn; tilo kircher; benjamin straube; hans‐ulrich wittchen; carsten konrad; andreas ströhle; andré wittmann; bettina pfleiderer; andreas reif; volker arolt; ulrike lueken</td></tr><tr><td>Title:</td><td>predicting treatment response to cognitive behavioral therapy in panic disorder with agoraphobia by integrating local neural information</td></tr><tr><td>Source:</td><td>jama psychiatry, 72(1), 68-68</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/https://doi.org/10.1001/jamapsychiatry.2014.1741	1.3326	0.1565	3	404	641	2.1467	112	2015	2.1467	112
10	victoria manning (2021)	"<table><tr><td>Authors:</td><td>victoria manning; joshua b.b. garfield; petra k. staiger; dan i. lubman; jarrad a. g. lum; john reynolds; kate hall; yvonne bonomo; martyn lloyd‐jones; reínout w. wiers; hugh piercy; david jacka; antonio verdejo-garcía</td></tr><tr><td>Title:</td><td>effect of cognitive bias modification on early relapse among adults undergoing inpatient alcohol withdrawal treatment</td></tr><tr><td>Source:</td><td>jama psychiatry, 78(2), 133-133</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1001/jamapsychiatry.2020.3446	0.5171	-0.5321	4	413	457	8.2278	71	2021	8.2278	71
11	barry a. farber (2000)	"<table><tr><td>Authors:</td><td>barry a. farber</td></tr><tr><td>Title:</td><td>treatment strategies for different types of teacher burnout</td></tr><tr><td>Source:</td><td>journal of clinical psychology, 56(5), 675-689</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1097-4679(200005)56:5<675::aid-jclp8>3.0.co;2-d"	-1.0656	-0.0932	1	2	2	1.0853	162	2000	1.0853	162
13	stuart b. murray (2016a)	"<table><tr><td>Authors:</td><td>stuart b. murray; katharine l. loeb; daniel le grange</td></tr><tr><td>Title:</td><td>dissecting the core fear in anorexia nervosa</td></tr><tr><td>Source:</td><td>jama psychiatry, 73(9), 891-891</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1001/jamapsychiatry.2016.1623	1.8121	0.149	3	297	352	1.2694	61	2016	1.2694	61
14	melissa pederson mussell (2000)	"<table><tr><td>Authors:</td><td>melissa pederson mussell; ross d. crosby; scott j. crow; amy j. knopke; carol b. peterson; stephen a. wonderlich; james e. mitchell</td></tr><tr><td>Title:</td><td>utilization of empirically supported psychotherapy treatments for individuals with eating disorders: a survey of psychologists</td></tr><tr><td>Source:</td><td>the international journal of eating disorders/international journal of eating disorders, 27(2), 230-237</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	"https://doi.org/https://doi.org/10.1002/(sici)1098-108x(200003)27:2<230::aid-eat11>3.0.co;2-0"	-0.6141	0.2111	1	136	164	0.6968	104	2000	0.6968	104
