id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. norm. citations>	score<Avg. pub. year>	score<Avg. citations>
1	absence	-0.0413	0.568	3	350	2147	111	1.0361	2009.3243	65.0631
2	acceptability	-0.4378	-0.5434	2	346	2188	112	1.1479	2015.1071	61.5982
3	acceptance	0.1206	-0.7762	2	377	6545	444	1.4157	2014.3108	95.5788
4	acquisition	-0.3274	1.142	3	342	3065	197	1.0108	2012.3706	51.665
5	act	0.1202	-0.8112	2	356	3411	212	1.5296	2015.2123	95.1887
6	activation	-0.2401	0.7733	3	368	3594	212	1.233	2013.3585	83.7547
7	adaptation	0.4235	-0.128	1	351	2234	143	0.9447	2013.1119	38.9231
8	adherence	-0.1737	-0.5919	2	347	2454	141	0.9749	2013.1489	56.6241
9	adolescence	0.528	-0.1727	1	267	815	53	0.8719	2008.6415	45.1509
10	adult	-0.2694	-0.3339	2	385	6802	431	1.1715	2012.7494	57.9118
11	advance	0.3145	0.4896	1	360	2894	155	1.9225	2010.7419	111.4774
12	age	-0.3573	-0.3779	2	377	4367	263	1.1095	2011.2395	68.3802
13	aggression	0.6882	-0.1291	1	285	1193	72	0.9639	2007.7083	49.9444
14	agoraphobia	-0.6868	0.084	2	331	1927	117	1.1283	2002.5043	89.3932
15	alliance	0.4169	-0.6563	1	321	1622	116	0.8339	2013.0172	47.7672
16	amygdala	-0.2344	1.1616	3	304	2121	118	1.157	2014.5763	69.4831
17	animal	-0.063	1.2174	3	280	1799	100	1.658	2012.21	104.65
18	anxiety disorder	-0.4692	0.4339	3	384	12411	799	1.2223	2013.0876	74.7947
19	anxiety disorders	-0.2341	0.0779	2	325	1562	75	1.7037	2009.9067	123.6
20	anxiety symptom	-0.6707	-0.3862	2	359	2529	135	1.1411	2015.6	49.6815
21	application	0.6592	0.1293	1	380	6598	452	0.9451	2009.7212	56.2611
22	approach	0.3321	0.0192	1	385	22282	1618	1.0607	2010.0142	58.1014
23	area	0.3439	0.2988	1	383	6538	390	1.1491	2008.5	66.5103
24	aspect	0.6982	0.1862	1	382	6243	383	1.1061	2009.7963	79.8877
25	assumption	0.87	0.0183	1	351	2447	144	0.9523	2008.7292	51.5
26	attachment	1.058	-0.1212	1	331	2762	213	0.692	2013.1502	37.5446
27	attachment theory	1.2497	-0.0124	1	265	1478	108	0.712	2010.4444	43.9722
28	attempt	0.5092	0.3157	1	359	2731	164	1.0732	2006.2622	70.878
29	attentional bias	-0.9324	0.2972	2	264	1074	67	1.084	2012.8657	70.3433
30	attitude	0.5459	-0.4631	1	352	2526	176	0.7973	2007.0341	43.5455
31	availability	0.1806	-0.3742	1	348	2105	79	1.7938	2002.6835	106.8608
32	awareness	0.5944	-0.3647	1	366	4043	239	1.1697	2012.0167	67.3138
33	barrier	0.1532	-0.2639	1	333	2044	123	0.8091	2014.3171	34.8537
34	baseline	-0.8241	-0.5791	2	370	5667	386	0.9308	2014.0052	43.7642
35	basis	0.424	0.2622	1	381	4191	255	1.1909	2008.9882	69.5333
36	behavior change	0.6637	-0.176	1	316	1466	86	1.7418	2009.5581	155.3488
37	behavior therapy	0.1287	-0.4021	1	381	6211	382	1.3525	2007.4424	101.8351
38	bias	-0.7274	0.0402	2	368	3661	244	1.3016	2013.6393	70.6762
39	biase	-0.6685	0.2028	2	340	2536	156	1.5202	2012.5641	97.5385
40	body	0.5166	0.4146	1	355	2460	141	1.1328	2014.0071	55.9787
41	borderline personality disorder	0.8245	-0.4431	1	339	2081	111	0.9914	2012.4595	63.8739
42	bpd	0.8018	-0.5166	1	238	804	57	1.1353	2013.4386	97.5789
43	brain	0.4767	0.7167	1	340	2454	110	1.8216	2011.9273	109.6636
44	capacity	0.7568	-0.1366	1	358	2886	172	1.0859	2012.2733	61.8895
45	care	0.2673	-0.517	1	374	4264	242	1.1847	2011.4421	58.9752
46	case example	1.0399	0.1256	1	273	1150	90	0.4644	2011.0222	24.4222
47	case study	0.3541	-0.3934	1	351	2965	262	0.5477	2007.813	30.2824
48	cbm	-1.141	-0.1924	2	209	869	64	1.4423	2016.9531	59.2812
49	cbt	-0.446	-0.4819	2	384	13929	949	0.9948	2014.196	58.2487
50	challenge	0.5526	0.3023	1	375	4551	271	1.0175	2013.1808	51.3985
51	change process	1.049	-0.3456	1	269	1287	93	1.1632	2013.1183	41.5591
52	childhood	0.853	-0.1003	1	318	1739	90	0.9593	2008	84.6667
53	children	0.1065	-0.6667	1	292	1074	82	1.0608	2007.7317	74.5366
54	chronic pain	-0.0446	-0.7342	2	250	973	65	1.6376	2011.9231	129.7077
55	client	0.654	-0.4364	1	378	8543	659	0.6389	2009.5599	34.6631
56	clinical application	0.2293	0.5032	1	313	1235	70	1.0795	2009.9857	36.8286
57	clinical intervention	0.269	0.4569	1	302	1067	75	0.9885	2011.08	46.44
58	clinical outcome	-0.4191	-0.0812	2	316	1153	74	1.4775	2014.5	72.3108
59	clinical practice	0.7316	0.2969	1	370	3858	249	1.1558	2011.7631	55.2651
60	clinical psychology	0.5114	-0.2879	1	356	2688	107	1.8412	2007	111.9626
61	clinical research	0.2565	0.6052	1	289	1020	68	1.5136	2010.7647	69.75
62	clinical sample	-0.425	-0.0127	2	326	1384	74	0.8965	2015.0541	46.7703
63	cognitive behavioral	0.0363	-0.6354	2	310	1322	79	0.9147	2007.9494	74.6329
